record_id,pitching_role,pitch_result,innings_pitched,pitches,batters_faced,strikeouts,walks,hit_batters,hits_allowed,singles,doubles,triples,home_runs,runs_allowed,earned_runs,fly_outs,ground_outs,line_outs,stolen_bases_allowed,wild_pitches,balks,remarks
134887,RP,L,0.1,23,4,0,0,0,3,1,2,0,0,2,2,0,1,0,0,0,0,"(L, 3-4)(BS, 5)"
134891,SP,"",5.0,87,23,6,3,1,5,2,2,0,1,5,5,2,5,0,0,0,0,""
134898,RP,"",0.2,6,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,""
134901,RP,"",1.0,15,4,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,""
134904,CL,"",2.0,21,7,0,0,0,3,3,0,0,0,0,0,0,3,1,0,0,0,""
134960,CL,"",1.0,7,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,""
134968,RP,"",0.2,8,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,""
134973,SP,L,5.1,92,24,8,3,0,6,2,2,0,2,5,5,3,2,1,1,0,0,"(L, 12-7)"
134977,RP,"",1.0,15,4,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,""
134936,CL,S,1.0,18,4,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"(S, 12)"
134937,RP,H,0.2,7,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"(H, 3)"
134947,RP,H,1.1,19,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(H, 2)"
134956,SP,W,6.0,101,27,5,2,0,7,5,2,0,0,2,2,6,4,1,1,0,0,"(W, 2-10)"
135018,RP,"",1.0,16,4,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,""
135029,SP,"",5.0,86,24,7,2,0,7,5,1,0,1,5,5,1,5,2,0,2,0,""
135030,CL,L,0.1,23,5,0,3,0,1,1,0,0,0,2,1,0,1,0,0,0,0,"(L, 6-3)(BS, 6)"
135033,RP,"",3.0,29,11,1,0,0,1,1,0,0,0,0,0,0,5,1,0,0,0,""
134987,RP,"",1.2,24,6,1,0,0,1,0,0,0,1,1,1,2,2,0,0,0,0,""
134989,RP,"",1.1,16,6,0,0,0,2,2,0,0,0,0,0,2,0,1,0,0,0,""
134992,RP,"",1.0,22,5,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,""
134993,SP,"",3.0,66,14,5,2,0,3,2,0,0,1,4,4,1,1,0,0,0,0,""
134995,RP,"",1.2,38,7,4,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,""
134998,RP,"",1.0,18,5,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,""
135005,CL,W,0.1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(W, 1-0)"
135069,SP,L,5.1,104,24,3,2,0,7,3,3,0,1,4,4,5,7,0,0,0,0,"(L, 10-10)"
135077,CL,"",1.0,10,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,""
135082,RP,"",1.1,24,6,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,""
135084,RP,"",0.1,10,4,0,0,0,3,2,1,0,0,2,2,0,1,0,0,0,0,""
135034,RP,"",1.0,20,5,3,1,0,1,0,0,0,1,2,2,0,0,0,0,0,0,""
135042,RP,H,1.0,6,4,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,"(H, 2)"
135043,CL,S,1.0,15,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"(S, 20)"
135049,SP,W,5.0,72,17,6,0,0,2,1,1,0,0,1,1,3,4,2,0,0,0,"(W, 9-2)"
135057,RP,H,1.0,14,4,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"(H, 7)"
135112,RP,"",1.2,64,11,3,2,0,4,2,0,0,2,3,3,2,0,0,0,0,0,""
135113,RP,"",1.0,13,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,""
135116,RP,"",1.0,15,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,""
135121,RP,"",1.0,24,5,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,""
135129,SP,L,2.1,76,18,4,1,1,8,3,1,0,4,8,7,0,1,2,1,0,0,"(L, 1-1)"
135134,CL,"",1.0,16,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,""
135085,CL,"",2.0,27,8,0,0,0,2,0,1,0,1,1,1,2,4,0,0,0,0,""
135105,SP,W,7.0,94,26,6,2,0,4,4,0,0,0,1,1,0,10,3,0,0,0,"(W, 14-5)"
135163,RP,BS,1.0,13,4,2,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,"(BS, 5)"
135174,RP,H,1.1,18,5,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"(H, 19)"
135176,RP,H,0.2,16,4,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,"(H, 17)"
135179,CL,L,0.2,9,4,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,"(L, 1-7)"
135186,SP,"",6.0,85,22,5,1,0,4,4,0,0,0,2,2,5,3,3,1,0,0,""
135137,RP,"",1.1,19,4,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,""
135139,SP,"",6.0,99,23,4,0,0,6,3,2,0,1,3,3,2,7,2,0,0,0,""
135142,RP,"",1.0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,""
135147,CL,W,1.0,7,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"(W, 6-5)"
135155,RP,"",0.2,22,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
135234,SP,W,6.2,97,25,5,2,0,4,3,1,0,0,1,1,4,8,1,1,0,0,"(W, 5-4)"
135238,CL,"",2.1,17,8,1,0,0,1,1,0,0,0,0,0,3,3,0,0,0,0,""
135199,RP,"",1.0,43,7,1,2,0,2,0,1,0,1,1,1,2,0,0,0,0,0,""
135202,CL,"",2.0,26,8,1,1,0,1,1,0,0,0,0,0,3,0,1,0,0,0,""
135204,SP,L,3.2,96,24,2,5,1,7,3,1,0,3,9,9,4,4,1,0,0,0,"(L, 7-7)"
135212,RP,"",2.1,44,10,4,2,0,1,0,0,0,1,2,2,0,2,1,0,0,0,""
135266,CL,"",1.1,16,5,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,""
135270,RP,"",0.2,15,4,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,""
135271,RP,"",0.2,22,5,1,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,""
135274,SP,L,4.0,69,17,3,1,0,4,2,1,0,1,4,4,2,3,1,2,0,0,"(L, 3-4)"
