player_id,name,number,status,team_id
672640,Otto Lopez,6,Active,146
678692,Ronny Henriquez,32,Active,146
687473,Ryan Gusto,65,Active,146
677960,Ryan Weathers,35,Active,146
645261,Sandy Alcantara,22,Active,146
663969,Tyler Phillips,30,Active,146
683748,Victor Mesa Jr.,10,Active,146
687531,William Kempner,,Active,146
669364,Xavier Edwards,9,Active,146
694350,Zach Brzykcy,,Active,146
592450,Aaron Judge,99,Active,147
642216,Allan Winans,62,Active,147
683011,Anthony Volpe,11,Active,147
669224,Austin Wells,28,Active,147
700250,Ben Rice,22,Active,147
669699,Braden Shewmake,89,Active,147
687396,Brent Headrick,47,Active,147
693645,Cam Schlittler,31,Active,147
666808,Camilo Doval,75,Active,147
607074,Carlos Rodón,55,Active,147
694633,Chase Hampton,,Active,147
657376,Clarke Schmidt,36,Active,147
670280,David Bednar,53,Active,147
695684,Elmer Rodríguez,,Active,147
518585,Fernando Cruz,63,Active,147
543037,Gerrit Cole,45,Active,147
519317,Giancarlo Stanton,27,Active,147
641555,J.C. Escarra,25,Active,147
656234,Jake Bird,59,Active,147
691176,Jasson Domínguez,24,Active,147
682144,Jayvien Sandridge,88,Active,147
665862,Jazz Chisholm Jr.,13,Active,147
678391,Jorbit Vivas,90,Active,147
676609,José Caballero,72,Active,147
665645,Kervin Castro,,Active,147
661563,Luis Gil,81,Active,147
608331,Max Fried,54,Active,147
665828,Oswaldo Cabrera,95,Active,147
641857,Ryan McMahon,19,Active,147
642232,Ryan Yarbrough,33,Active,147
682987,Spencer Jones,,Active,147
657612,Tim Hill,41,Active,147
663757,Trent Grisham,12,Active,147
701542,Will Warren,98,Active,147
660787,Yerry De los Santos,73,Active,147
676879,Aaron Ashby,26,Active,158
682842,Abner Uribe,45,Active,158
683734,Andrew Vaughn,28,Active,158
655316,Andruw Monasterio,14,Active,158
678011,Anthony Seigler,18,Active,158
663368,Blake Perkins,16,Active,158
663604,Brandon Lockridge,20,Active,158
605540,Brandon Woodruff,53,Active,158
668930,Brice Turang,2,Active,158
702332,Caleb Durbin,21,Active,158
692230,Carlos Rodriguez,0,Active,158
694477,Chad Patrick,39,Active,158
592885,Christian Yelich,22,Active,158
689441,Coleman Crow,,Active,158
684974,Craig Yoho,48,Active,158
669084,DL Hall,37,Active,158
668834,Easton McGee,50,Active,158
642547,Freddy Peralta,51,Active,158
669003,Garrett Mitchell,5,Active,158
681982,Grant Anderson,56,Active,158
686555,Isaac Collins,6,Active,158
694192,Jackson Chourio,11,Active,158
694819,Jacob Misiorowski,32,Active,158
641343,Jake Bauers,9,Active,158
657649,Jared Koenig,47,Active,158
691620,Jeferson Quero,76,Active,158
687401,Joey Ortiz,3,Active,158
701656,Logan Henderson,43,Active,158
683232,Nick Mears,25,Active,158
682990,Quinn Priester,46,Active,158
642239,Rob Zastryzny,58,Active,158
688107,Robert Gasser,54,Active,158
686217,Sal Frelick,10,Active,158
671111,Sammy Peralta,,Active,158
672642,Steward Berroa,35,Active,158
668964,Tobias Myers,36,Active,158
656730,Trevor Megill,29,Active,158
672012,Tyler Black,7,Active,158
661388,William Contreras,24,Active,158
543685,Anthony Rendon,6,Active,108
690829,Ben Joyce,44,Active,108
656271,Brock Burke,46,Active,108
669326,Bryce Teodosio,22,Active,108
702674,Caden Dana,36,Active,108
681217,Chase Silseth,63,Active,108
695681,Christian Moore,4,Active,108
689520,Cody Laweryson,,Active,108
694203,Denzer Guzman,13,Active,108
680570,Grayson Rodriguez,,Active,108
686799,Jack Kochanowicz,41,Active,108
666176,Jo Adell,7,Active,108
624585,Jorge Soler,12,Active,108
820862,José Fermin,68,Active,108
667755,José Soriano,59,Active,108
677347,Kyren Paris,19,Active,108
681351,Logan O'Hoppe,14,Active,108
683090,Matthew Lugo,15,Active,108
545361,Mike Trout,27,Active,108
815083,Mitch Farris,70,Active,108
694384,Nolan Schanuel,18,Active,108
672724,Oswald Peraza,10,Active,108
672282,Reid Detmers,48,Active,108
596112,Robert Stephenson,24,Active,108
696270,Ryan Johnson,32,Active,108
666171,Ryan Zeferjahn,56,Active,108
691951,Sam Aldegheri,61,Active,108
696147,Sam Bachman,40,Active,108
518595,Travis d'Arnaud,25,Active,108
682989,Victor Mederos,58,Active,108
700712,Walbert Urena,,Active,108
579328,Yusei Kikuchi,16,Active,108
687263,Zach Neto,9,Active,108
640462,A.J. Puk,33,Active,109
680728,Adrian Del Castillo,25,Active,109
677950,Alek Thomas,5,Active,109
694851,Andrew Hoffmann,56,Active,109
685314,Andrew Saalfrank,27,Active,109
686796,Blake Walston,48,Active,109
677942,Blaze Alexander,9,Active,109
694297,Brandon Pfaadt,32,Active,109
805299,Brandyn Garcia,55,Active,109
686826,Bryce Jarvis,40,Active,109
669203,Corbin Burnes,39,Active,109
682998,Corbin Carroll,7,Active,109
