record_id,at_bats,plate_appearance,hits,doubles,triples,home_runs,strikeouts,walks,hit_by_pitch,sacrifice_flies,double_play,triple_play,rbis,runs,stolen_bases,caught_stealing,remarks
22766,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2-3 | 2B
22768,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"0-1 | BB, K"
22769,2,2,1,1,0,0,1,0,0,0,0,0,3,1,0,0,"1-2 | 2B, K, 3 RBI"
22774,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1-3 | 2B
22776,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2-3
22789,4,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0-4 | K
22791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
22795,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,"1-1 | BB, R"
22809,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"0-2 | BB, K"
22812,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"0-1 | BB, R"
22813,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-1 | K
23081,4,4,2,1,0,0,1,0,0,0,0,0,1,0,0,0,"2-4 | 2B, K, RBI"
23087,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1-2 | K
23093,2,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,"0-2 | BB, 2 K"
23094,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1-1 | R
23106,3,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,"1-3 | K, R"
23109,3,3,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"1-3 | 2B, RBI, R"
23110,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-2 | K
23111,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,"1-1 | HR, RBI, R"
23118,1,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0,"1-1 | BB, 2 RBI"
23129,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1-2 | R
23132,1,3,1,0,0,0,0,1,0,1,0,0,1,1,0,0,"1-1 | BB, RBI, R"
23134,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-3 | K
23138,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0-1 | HBP
23139,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0-1 | RBI
23144,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0-3 | 2 K
23146,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1-3 | K
23169,2,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,"2-2 | RBI, R"
23176,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1-2 | R
23177,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1-3
22964,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-2
22970,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"0-1 | HBP, K"
22971,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0-2 | 2 K
22978,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-1
22980,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,"0-0 | 2 BB, RBI"
22988,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-2
22997,2,2,2,0,0,1,0,0,0,0,0,0,1,2,0,0,"2-2 | HR, RBI, 2 R"
22998,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1-2 | R
23010,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,"1-1 | BB, R"
23021,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0-2 | RBI
23025,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-1 | K
23028,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,"0-0 | 2 BB, SB"
23037,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1-2
23043,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-1
23047,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,"1-2 | 2B, R"
23051,2,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,"0-2 | HBP, K, R"
23058,2,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,"0-2 | BB, K, RBI"
23061,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-3 | K
23069,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1-2 | RBI
23070,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-2 | K
23297,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-1 | K
23300,3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0-3 | K
23305,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-2 | K
23308,1,2,1,0,0,1,0,1,0,0,0,0,1,1,0,0,"1-1 | HR, BB, RBI"
23315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
23316,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"0-1 | BB, K"
23322,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1-2 | SB
23339,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-3 | K
23342,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-3
23345,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0-0 | BB
23347,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0-4 | 2 K
23358,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1-2
23368,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0-4 | 2 K
23402,2,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,"1-2 | HR, RBI, R"
23404,3,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,"2-3 | 2B, K"
23406,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0-0 | BB
23408,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-1 | K
23186,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-1
23195,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1-3 | 2B
23200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
23215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
23224,3,3,2,0,0,1,0,0,0,0,0,0,3,2,0,0,"2-3 | HR, 3 RBI, 2 R"
23228,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1-1 | R
23229,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-1
23240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
23246,2,3,1,0,0,0,1,1,0,0,0,0,1,0,0,0,"1-2 | BB, K, RBI"
23250,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-3
23251,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1-2 | R
23256,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1-3 | 2 K
23275,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-1
23280,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0-2 | BB
23283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
23287,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-1 | K
23292,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0-2 | BB
23294,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-3 | K
23537,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-1
23543,3,4,0,0,0,0,2,1,0,0,0,0,0,1,1,0,"0-3 | BB, 2 K, R"
